authors,formats,isbn,pubdate,title
"Edvard Hoem","epub, mobi","9788249523849","2023-11-15T01:00:00+02:00","Husjomfru"
"Edvard Hoem","epub, mobi","9788249516353","2024-07-23T02:18:24+02:00","Bror din på prærien"
"Edvard Hoem","epub, mobi","9788249516919","2017-11-27T01:00:00+02:00","Land ingen har sett"
"Edvard Hoem","epub, mobi","9788249514847","2014-01-01T02:00:00+02:00","Slåttekar i himmelen"
"gillianeliza","epub","","2024-05-23T01:00:00+02:00","The Gallows"
"SereneMusafir","epub","","2023-05-10T02:00:00+02:00","Green Light"
"orphan_account","epub","","2021-05-02T02:00:00+02:00","A Second Attempt"
"Trude Teige","epub","820345321X","2024-01-01T02:00:00+02:00","Mormors utrolige venninner"
"Leigh Bardugo","","1250313074","2019-01-01T02:00:00+02:00","Ninth House (Alex Stern, #1)"
"Colleen Hoover","","1668001225","2022-01-01T02:00:00+02:00","It Starts with Us (It Ends with Us, #2)"
"Jennifer L. Armentrout","","1952457726","2022-01-01T02:00:00+02:00","The War of Two Queens"
"Jennifer L. Armentrout","azw3, epub","1952457017","2020-01-01T02:00:00+02:00","From Blood and Ash"
"Jennifer L. Armentrout","","1952457106","2020-01-01T02:00:00+02:00","A Kingdom of Flesh and Fire"
"Jennifer L. Armentrout","","1952457254","2021-01-01T02:00:00+02:00","The ​Crown of Gilded Bones"
"Leigh Bardugo","","","2016-01-01T02:00:00+02:00","Crooked Kingdom (Six of Crows, #2)"
"Rick Riordan","","","2005-01-01T02:00:00+02:00","The Lightning Thief (Percy Jackson and the Olympians, #1)"
"Tracy Wolff","","9781640638952","2022-03-09T19:04:23+02:00","Crave"
"Tracy Wolff","","9781682815854","2020-09-29T15:23:09+02:00","Crush"
"Trude Teige","","9788203454875","0101-01-01T02:00:00+02:00","Morfar pustet med havet"
"Cassandra Clare","","1481426303","2014-01-01T02:00:00+02:00","City of Heavenly Fire (The Mortal Instruments, #6)"
"Amanda Lovelace","azw3, epub","9781449489427","2018-03-06T01:00:00+02:00","The Witch Doesn't Burn In This One"
"Pierre Alex Jeanty","","","2017-08-13T01:00:00+02:00","Her Vol. 2"
"Amie Kaufman & Jay Kristoff","","9781524720964","2019-05-07T02:00:00+02:00","Aurora Rising"
"Erin Sterling","","9781472290274","0101-01-01T02:00:00+02:00","The Ex Hex"
"Leigh Bardugo","","","2014-01-01T02:00:00+02:00","Ruin and Rising (The Shadow and Bone Trilogy, #3)"
"Scarlett St. Clair","","","2019-01-01T02:00:00+02:00","A Touch of Darkness (Hades & Persephone, #1)"
"Caroline Peckham, Susanne Valenti","","9781916926097","2025-08-05T02:00:00+02:00","Heartless Sky"
"Caroline Peckham, Susanne Valenti","","9781916926080","2025-06-24T02:00:00+02:00","Fated Throne"
"Caroline Peckham, Susanne Valenti","","9798647484109","2020-05-20T15:26:00+02:00","Cursed Fates"
"Caroline Peckham, Susanne Valenti","","9781916926066","2025-04-01T15:26:13+02:00","Shadow Princess"
"Caroline Peckham, Susanne Valenti","","9781916926301","2025-02-18T15:26:21+02:00","The Reckoning"
"Caroline Peckham, Susanne Valenti","","9781916926295","2025-01-07T15:26:35+02:00","Ruthless Fae"
"Caroline Peckham, Susanne Valenti","","9781916926257","0101-01-01T02:00:00+02:00","The Awakening"
"Caroline Peckham, Susanne Valenti","","9781916926103","2025-09-16T15:26:57+02:00","Sorrow & Starlight"
"Sarah J. Maas","","1619632217","2014-01-01T02:00:00+02:00","The Assassin's Blade (Throne of Glass, #0.1-0.5)"
"Sarah J. Maas","azw3, epub","1639731008","2015-01-01T02:00:00+02:00","Queen of Shadows (Throne of Glass, #4)"
"Julia Quinn","","9780380815586","2001-07-03T15:28:48+02:00","An Offer From a Gentleman"
"Julia Quinn","","","2000-01-01T02:00:00+02:00","The Viscount Who Loved Me (Bridgertons, #2)"
"Julia Quinn","","9780063142121","0101-01-01T02:00:00+02:00","The Duke and I"
"Julia Quinn","","0349429456","2002-01-01T02:00:00+02:00","Romancing Mister Bridgerton (Bridgertons, #4)"
"J. K. Rowling","","0439784549","2024-09-27T03:24:44+02:00","Harry Potter and the Half-Blood Prince"
"J. K. Rowling","","0545010225","2024-10-16T03:15:33+02:00","Harry Potter and the Deathly Hallows"
"J. K. Rowling","azw3, epub","0439139597","2024-08-26T00:54:14+02:00","Harry Potter and the Goblet of Fire"
"J. K. Rowling","azw3, epub","043965548X","2024-08-14T00:11:22+02:00","Harry Potter and the Prisoner of Azkaban"
"Margit Sandemo","","8250917995","1986-01-01T02:00:00+02:00","Lucifers kjærlighet (Sagaen om Isfolket, #29)"
"Diana Gabaldon","","8250921380","2023-07-19T12:06:01+02:00","Stille før stormen"
"Margit Sandemo","","9788250921009","1988-01-01T01:00:00+02:00","Demonens Fjell"
"Diana Gabaldon","","8250920198","2023-06-07T23:09:32+02:00","Skjulte spor"
"Margit Sandemo","","8250920686","2023-07-18T21:42:49+02:00","Fanget av tiden"
"Margit Sandemo","","8250920384","2023-07-10T01:30:02+02:00","Rop av stumme røster"
"Margit Sandemo","","8250919173","2023-05-27T06:15:49+02:00","Kvinnen på stranden"
"Margit Sandemo","","9788251679923","2018-04-17T15:33:21+02:00","Sagaen om Isfolket 35 - Vandring i mørket"
"Margit Sandemo","","9788250919686","1987-01-01T01:00:00+02:00","Trolllmåne"
"Margit Sandemo","","9788251679947","2023-06-05T00:11:50+02:00","Skrekkens"
"Margit Sandemo","","8250918967","2023-05-27T01:46:37+02:00","Nattens demon"
"Diana Gabaldon","","8250918479","2022-05-21T01:16:59+02:00","Fergemannen (Sagaen om Isfolket, #31)"
"Margit Sandemo","","8250918770","2023-05-25T01:04:08+02:00","Hunger"
"Margit Sandemo","","8250918215","1986-01-01T02:00:00+02:00","Utysket (Sagaen om Isfolket, #30)"
"Margit Sandemo","","8250917294","1986-01-01T02:00:00+02:00","Skandalen (Sagaen om Isfolket, #27)"
"Margit Sandemo","","8250917510","1986-01-01T02:00:00+02:00","Is og ild (Sagaen om Isfolket, #28)"
"Margit Sandemo","","8250916638","1985-01-01T02:00:00+02:00","Engel med svarte vinger (Sagaen om Isfolket, #25)"
"Margit Sandemo","","8250916344","1985-01-01T02:00:00+02:00","I jordens dyp (Sagaen om Isfolket, #24)"
"Margit Sandemo","","9788251679831","1985-01-01T01:00:00+02:00","Sagaen om Isfolket 26 - Huset i Eldafjord"
"Margit Sandemo","","8250916166","1985-01-01T02:00:00+02:00","Våroffer (Sagaen om Isfolket, #23)"
"Margit Sandemo","","9788250915657","1985-01-01T01:00:00+02:00","Djevelkløften"
"Margit Sandemo","","8250915445","2021-05-30T16:11:19+02:00","Ravnens vinger (Sagaen om Isfolket, #20)"
"Margit Sandemo","","8250914856","1984-01-01T02:00:00+02:00","Dragens tenner (Sagaen om Isfolket, #19)"
"Margit Sandemo","","9788250917842","1984-01-01T01:00:00+02:00","Dødens Hage"
"Margit Sandemo","","8250915100","1984-01-01T02:00:00+02:00","Bak fasaden (Sagaen om Isfolket, #18)"
"Margit Sandemo","","8250915089","1984-01-01T02:00:00+02:00","Galgeblomsten (Sagaen om Isfolket, #16)"
"Margit Sandemo","","9788251679725","2018-04-17T01:00:00+02:00","Sagaen om Isfolket 15 - Vinden fra øst"
"Margit Sandemo","","8250915062","2021-05-02T21:14:02+02:00","Den siste ridder (Sagaen om Isfolket, #14)"
"Margit Sandemo","","8250917790","2021-04-30T17:09:04+02:00","Feber i blodet (Sagaen om Isfolket #12)"
"Margit Sandemo","","8250915054","2021-04-30T19:46:52+02:00","Satans fotspor (Sagaen om Isfolket, #13)"
"Margit Sandemo","","9788251679688","2018-04-17T15:37:40+02:00","Sagaen om Isfolket 11 - Blodhevn"
"Margit Sandemo","","9788251679671","1983-01-01T01:00:00+02:00","Sagaen om Isfolket 10 - Vinterstorm"
"Margit Sandemo","","8250917766","2021-04-25T18:26:09+02:00","Den ensomme"
"Margit Sandemo","","8250917669","2021-04-24T19:34:21+02:00","Bøddelens datter"
"Diana Gabaldon","","8250917650","2021-04-24T15:35:31+02:00","Spøkelsesslottet (Sagaen om Isfolket, #7)"
"Margit Sandemo","","8250917731","2021-04-24T01:54:21+02:00","Den onde arven"
"Margit Sandemo","","8250917723","2021-04-05T23:50:11+02:00","Dødssynden"
"Margit Sandemo","","9788251679619","1982-01-01T01:00:00+02:00","Sagaen om Isfolket"
"Margit Sandemo","","8250917715","2021-03-22T11:07:43+02:00","Avgrunnen"
"Margit Sandemo","","8250917707","2021-03-17T15:45:26+02:00","Heksejakten (Sagaen om Isfolket, #2)"
"Margit Sandemo","","8250911385","2021-03-17T00:43:17+02:00","Trollbundet (Sagaen om Isfolket, #1)"
"Sarah J. Maas","","1635575621","2022-11-26T23:08:20+02:00","A Court of Frost and Starlight"
"Sarah J. Maas","","168119628X","2022-11-29T18:10:21+02:00","A ​Court of Silver Flames (A Court of Thorns and Roses, #4)"
"Sarah J. Maas","","1635575605","2022-11-26T17:12:41+02:00","A Court of Wings and Ruin (A Court of Thorns and Roses, #3)"
"Sarah J. Maas","","1635575583","2022-09-11T20:52:20+02:00","A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
