title,authors,formats,isbn,published_year
Husjomfru,Edvard Hoem,"epub, mobi",9788249523849,2023
Bror din på prærien,Edvard Hoem,"epub, mobi",9788249516353,2024
Land ingen har sett,Edvard Hoem,"epub, mobi",9788249516919,2017
Slåttekar i himmelen,Edvard Hoem,"epub, mobi",9788249514847,2014
The Gallows,gillianeliza,epub,,2024
Green Light,SereneMusafir,epub,,2023
A Second Attempt,orphan_account,epub,,2021
Mormors utrolige venninner,Trude Teige,epub,9788203453212,2024
"Ninth House (Alex Stern, #1)",Leigh Bardugo,,1250313074,2019
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,,1668001225,2022
The War of Two Queens,Jennifer L. Armentrout,,1952457726,2022
From Blood and Ash,Jennifer L. Armentrout,"azw3, epub",1952457017,2020
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,,1952457106,2020
The ​Crown of Gilded Bones,Jennifer L. Armentrout,,1952457254,2021
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,,,2016
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,,2005
Crave,Tracy Wolff,,9781640638952,2022
Crush,Tracy Wolff,,9781682815854,2020
Morfar pustet med havet,Trude Teige,,9788203454875,
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,,1481426303,2014
The Witch Doesn't Burn In This One,Amanda Lovelace,"azw3, epub",9781449489427,2018
Her Vol. 2,Pierre Alex Jeanty,,,2017
Aurora Rising,Amie Kaufman & Jay Kristoff,,9781524720964,2019
The Ex Hex,Erin Sterling,,9781472290274,
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,,,2014
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St. Clair,,,2019
Heartless Sky,"Caroline Peckham, Susanne Valenti",,9781916926097,2025
Fated Throne,"Caroline Peckham, Susanne Valenti",,9781916926080,2025
Cursed Fates,"Caroline Peckham, Susanne Valenti",,9798647484109,2020
Shadow Princess,"Caroline Peckham, Susanne Valenti",,9781916926066,2025
The Reckoning,"Caroline Peckham, Susanne Valenti",,9781916926301,2025
Ruthless Fae,"Caroline Peckham, Susanne Valenti",,9781916926295,2025
The Awakening,"Caroline Peckham, Susanne Valenti",,9781916926257,
Sorrow & Starlight,"Caroline Peckham, Susanne Valenti",,9781916926103,2025
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,,1619632217,2014
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"azw3, epub",1639731008,2015
