authors,series,series_index,title
"Edvard Hoem","Famlien fra Rekneslia","5.0","Husjomfru"
"Edvard Hoem","Famlien fra Rekneslia","1.0","Bror din på prærien"
"Edvard Hoem","Famlien fra Rekneslia","2.0","Land ingen har sett"
"Edvard Hoem","Slåttekar i himmelen","0.0","Slåttekar i himmelen"
"gillianeliza","","1.0","The Gallows"
"SereneMusafir","","1.0","Green Light"
"orphan_account","","1.0","A Second Attempt"
"Trude Teige","Mormor og Morfar","3.0","Mormors utrolige venninner"
"Leigh Bardugo","Ninth House (Alex Stern, #1)","0.0","Ninth House (Alex Stern, #1)"
"Colleen Hoover","It Starts with Us (It Ends with Us, #2)","0.0","It Starts with Us (It Ends with Us, #2)"
"Jennifer L. Armentrout","Blood and Ash","4.0","The War of Two Queens"
"Jennifer L. Armentrout","Blood and Ash","1.0","From Blood and Ash"
"Jennifer L. Armentrout","Blood and Ash","2.0","A Kingdom of Flesh and Fire"
"Jennifer L. Armentrout","Blood and Ash","3.0","The ​Crown of Gilded Bones"
"Leigh Bardugo","Crooked Kingdom (Six of Crows, #2)","0.0","Crooked Kingdom (Six of Crows, #2)"
"Rick Riordan","The Lightning Thief (Percy Jackson and the Olympians, #1)","0.0","The Lightning Thief (Percy Jackson and the Olympians, #1)"
"Tracy Wolff","Crave","1.0","Crave"
"Tracy Wolff","Crave","2.0","Crush"
"Trude Teige","Mormor og Morfar","2.0","Morfar pustet med havet"
"Cassandra Clare","City of Heavenly Fire (The Mortal Instruments, #6)","0.0","City of Heavenly Fire (The Mortal Instruments, #6)"
"Amanda Lovelace","Women Are Some Kind of Magic Series","2.0","The Witch Doesn't Burn In This One"
"Pierre Alex Jeanty","Her","1.0","Her Vol. 2"
"Amie Kaufman & Jay Kristoff","The Aurora Cycle","1.0","Aurora Rising"
"Erin Sterling","Ex Hex","0.0","The Ex Hex"
"Leigh Bardugo","Ruin and Rising (The Shadow and Bone Trilogy, #3)","0.0","Ruin and Rising (The Shadow and Bone Trilogy, #3)"
"Scarlett St. Clair","A Touch of Darkness (Hades & Persephone, #1)","0.0","A Touch of Darkness (Hades & Persephone, #1)"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","7.0","Heartless Sky"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","0.0","Fated Throne"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","0.0","Cursed Fates"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","4.0","Shadow Princess"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","3.0","The Reckoning"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","2.0","Ruthless Fae"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","0.0","The Awakening"
"Caroline Peckham, Susanne Valenti","Zodiac Academy","8.0","Sorrow & Starlight"
"Sarah J. Maas","The Assassin's Blade (Throne of Glass, #0.1-0.5)","0.0","The Assassin's Blade (Throne of Glass, #0.1-0.5)"
"Sarah J. Maas","Queen of Shadows (Throne of Glass, #4)","0.0","Queen of Shadows (Throne of Glass, #4)"
"Julia Quinn","Bridgertons","3.0","An Offer From a Gentleman"
"Julia Quinn","The Viscount Who Loved Me (Bridgertons, #2)","0.0","The Viscount Who Loved Me (Bridgertons, #2)"
"Julia Quinn","Bridgertons","0.0","The Duke and I"
"Julia Quinn","Romancing Mister Bridgerton (Bridgertons, #4)","0.0","Romancing Mister Bridgerton (Bridgertons, #4)"
"J. K. Rowling","Harry Potter","1.0","Harry Potter and the Half-Blood Prince"
"J. K. Rowling","Harry Potter","1.0","Harry Potter and the Deathly Hallows"
"J. K. Rowling","Harry Potter","1.0","Harry Potter and the Goblet of Fire"
"J. K. Rowling","Harry Potter","1.0","Harry Potter and the Prisoner of Azkaban"
"Margit Sandemo","Lucifers kjærlighet (Sagaen om Isfolket, #29)","0.0","Lucifers kjærlighet (Sagaen om Isfolket, #29)"
"Diana Gabaldon","Sagaen om Isfolket","1.0","Stille før stormen"
"Margit Sandemo","Sagaen om Isfolket","40.0","Demonens Fjell"
"Diana Gabaldon","Sagaen om Isfolket","1.0","Skjulte spor"
"Margit Sandemo","Sagaen om Isfolket","1.0","Fanget av tiden"
"Margit Sandemo","Sagaen om Isfolket","1.0","Rop av stumme røster"
"Margit Sandemo","Sagaen om Isfolket","1.0","Kvinnen på stranden"
"Margit Sandemo","Sagaen om Isfolket","0.0","Sagaen om Isfolket 35 - Vandring i mørket"
"Margit Sandemo","Sagaen om Isfolket","35.0","Trolllmåne"
"Margit Sandemo","Sagaen om Isfolket","1.0","Skrekkens"
"Margit Sandemo","Sagaen om Isfolket","1.0","Nattens demon"
"Diana Gabaldon","Sagaen om Isfolket","1.0","Fergemannen (Sagaen om Isfolket, #31)"
"Margit Sandemo","Sagaen om Isfolket","1.0","Hunger"
